HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.text,Answer.extremism level.label,Approve,Reject
33J5JKFMK6RCPA9G53SFVOZ5QGWQ3C,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:34 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:34 PDT 2023,,,3NPFYT4IZDX0F3KACYZTWAGXRCDXGD,A3QPTE1PX514XA,Approved,Mon Apr 10 05:18:17 PDT 2023,Mon Apr 10 05:18:21 PDT 2023,Thu Apr 13 05:18:21 PDT 2023,Thu Apr 13 05:18:23 PDT 2023,,,4,100% (9/9),100% (9/9),100% (9/9),"Fight Corona VR https://t.co/nph73vjjIM Available 1. 
#ue4 #UnrealEngine #indiedev #gamer #IndieGameDev #indiegames #CHVR #COVID19 #coronavirus 
#VirtualReality #gamedev #gamers #HTCVive #Oculus #Steam #Sales #PCGaming #PC
#pcgamer #follow... https://t.co/IAFp1lQaiN",Neutral,,
3MVY4USGB6G3ST6CIAO7UUGVRMESI3,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3WAKVUDHUX9P56FEEQKC6Q40YRDU7F,A10W3EILX06DFO,Approved,Mon Apr 10 05:20:12 PDT 2023,Mon Apr 10 05:20:44 PDT 2023,Thu Apr 13 05:20:44 PDT 2023,Thu Apr 13 05:21:24 PDT 2023,,,32,100% (1/1),100% (1/1),100% (1/1),"""We need an explanation from the United States, an explanation to all the patients around the world. Without their passive attitude, the spread of the epidemic probably would not have been so serious.#Covid19
https://t.co/N908ROEa9i",Near-left,,
3MVY4USGB6G3ST6CIAO7UUGVRMESI3,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3KRVW3HTZOESBWUXTRR1A7J28JOSM9,A1TLQ9SC7DDI4J,Approved,Mon Apr 10 05:18:56 PDT 2023,Mon Apr 10 05:19:44 PDT 2023,Thu Apr 13 05:19:44 PDT 2023,Thu Apr 13 05:20:23 PDT 2023,,,48,100% (17/17),100% (17/17),100% (17/17),"""We need an explanation from the United States, an explanation to all the patients around the world. Without their passive attitude, the spread of the epidemic probably would not have been so serious.#Covid19
https://t.co/N908ROEa9i",Neutral,,
3MVY4USGB6G3ST6CIAO7UUGVRMESI3,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,30BUDKLTXEOTT6490XQA4O41LXQ5EW,A2RQQX36STOLUR,Approved,Mon Apr 10 05:21:57 PDT 2023,Mon Apr 10 05:22:16 PDT 2023,Thu Apr 13 05:22:16 PDT 2023,Thu Apr 13 05:22:27 PDT 2023,,,19,100% (17/17),100% (17/17),100% (17/17),"""We need an explanation from the United States, an explanation to all the patients around the world. Without their passive attitude, the spread of the epidemic probably would not have been so serious.#Covid19
https://t.co/N908ROEa9i",Neutral,,
3MVY4USGB6G3ST6CIAO7UUGVRMESI3,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3RXPCZQMQQ4SP2ZH55EM11CWMXZG15,A31P8S2RNOBVYX,Approved,Mon Apr 10 05:18:45 PDT 2023,Mon Apr 10 05:20:29 PDT 2023,Thu Apr 13 05:20:29 PDT 2023,Thu Apr 13 05:20:34 PDT 2023,,,104,100% (4/4),100% (4/4),100% (4/4),"""We need an explanation from the United States, an explanation to all the patients around the world. Without their passive attitude, the spread of the epidemic probably would not have been so serious.#Covid19
https://t.co/N908ROEa9i",Neutral,,
3MVY4USGB6G3ST6CIAO7UUGVRMESI3,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3GGAI1SQEWRC4F51W511V2FKMG2CMZ,AEECQ4NOV6ZS0,Approved,Mon Apr 10 05:18:52 PDT 2023,Mon Apr 10 05:18:59 PDT 2023,Thu Apr 13 05:18:59 PDT 2023,Thu Apr 13 05:19:28 PDT 2023,,,7,100% (6/6),100% (6/6),100% (6/6),"""We need an explanation from the United States, an explanation to all the patients around the world. Without their passive attitude, the spread of the epidemic probably would not have been so serious.#Covid19
https://t.co/N908ROEa9i",Near-right,,
3E6L1VR4XWFEV46PAPFJQS7BT5PF6D,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3QY7M81QH8FB2AA2KCGA03V2W0GK79,A20VDJXO3FJUVT,Approved,Mon Apr 10 05:18:32 PDT 2023,Mon Apr 10 05:18:37 PDT 2023,Thu Apr 13 05:18:37 PDT 2023,Thu Apr 13 05:19:24 PDT 2023,,,5,100% (9/9),100% (9/9),100% (9/9),"Longfian 5LPM Home Oxygen Concentrator 

#oxygen
#oxygenconcentrator
#5Loxygenconcentrator 
#oxygengenerator
#5Loxygengenerator
#COPD
#covid19
#SPO2 https://t.co/fNi4WNy7Yo",Near-right,,
3E6L1VR4XWFEV46PAPFJQS7BT5PF6D,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,38JBBYETQP3BXN09MS70ZWYNL1U4EP,A23KAJRDVCVGOE,Approved,Mon Apr 10 05:18:12 PDT 2023,Mon Apr 10 05:19:53 PDT 2023,Thu Apr 13 05:19:53 PDT 2023,Thu Apr 13 05:20:25 PDT 2023,,,101,100% (17/17),100% (17/17),100% (17/17),"Longfian 5LPM Home Oxygen Concentrator 

#oxygen
#oxygenconcentrator
#5Loxygenconcentrator 
#oxygengenerator
#5Loxygengenerator
#COPD
#covid19
#SPO2 https://t.co/fNi4WNy7Yo",Neutral,,
3E6L1VR4XWFEV46PAPFJQS7BT5PF6D,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3X4JMASXCN2WRW6OT0I8ML2P1S10B5,A2OYX8GBP0PZ5F,Approved,Mon Apr 10 05:18:27 PDT 2023,Mon Apr 10 05:19:01 PDT 2023,Thu Apr 13 05:19:01 PDT 2023,Thu Apr 13 05:19:28 PDT 2023,,,34,100% (1/1),100% (1/1),100% (1/1),"Longfian 5LPM Home Oxygen Concentrator 

#oxygen
#oxygenconcentrator
#5Loxygenconcentrator 
#oxygengenerator
#5Loxygengenerator
#COPD
#covid19
#SPO2 https://t.co/fNi4WNy7Yo",Far-left,,
3E6L1VR4XWFEV46PAPFJQS7BT5PF6D,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3H8DHMCCWA4RJJBCBPJW0V5YIBJKD2,A2RQQX36STOLUR,Approved,Mon Apr 10 05:19:19 PDT 2023,Mon Apr 10 05:19:27 PDT 2023,Thu Apr 13 05:19:27 PDT 2023,Thu Apr 13 05:19:37 PDT 2023,,,8,100% (17/17),100% (17/17),100% (17/17),"Longfian 5LPM Home Oxygen Concentrator 

#oxygen
#oxygenconcentrator
#5Loxygenconcentrator 
#oxygengenerator
#5Loxygengenerator
#COPD
#covid19
#SPO2 https://t.co/fNi4WNy7Yo",Far-right,,
3E6L1VR4XWFEV46PAPFJQS7BT5PF6D,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,31Z0PCVWUL8A5T0PELU21UIYFD77T2,AD1ILDUXZHASF,Approved,Mon Apr 10 05:18:34 PDT 2023,Mon Apr 10 05:19:33 PDT 2023,Thu Apr 13 05:19:33 PDT 2023,Thu Apr 13 05:19:40 PDT 2023,,,59,100% (16/16),100% (16/16),100% (16/16),"Longfian 5LPM Home Oxygen Concentrator 

#oxygen
#oxygenconcentrator
#5Loxygenconcentrator 
#oxygengenerator
#5Loxygengenerator
#COPD
#covid19
#SPO2 https://t.co/fNi4WNy7Yo",Neutral,,
3D1UCPY6GG26J69KJ9BF9XE5WAA83J,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3R6P78PK7L4TYMBQ7OYW77VREGQGTE,A1U575CZRDWFT,Approved,Mon Apr 10 05:19:02 PDT 2023,Mon Apr 10 05:20:38 PDT 2023,Thu Apr 13 05:20:38 PDT 2023,Thu Apr 13 05:21:23 PDT 2023,,,96,100% (17/17),100% (17/17),100% (17/17),"(Despite extraordinary Taiwan's tech capabilities, it still lacks absentee / mail voting).

@iingwen #COVID19 @Taiwan_CDC # 

2/2",Neutral,,
3D1UCPY6GG26J69KJ9BF9XE5WAA83J,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,36PW28KO40PQZCGQVTHRCZKNDBQEAA,A29Y78KCGCG7PB,Approved,Mon Apr 10 05:18:16 PDT 2023,Mon Apr 10 05:18:35 PDT 2023,Thu Apr 13 05:18:35 PDT 2023,Thu Apr 13 05:19:23 PDT 2023,,,19,100% (9/9),100% (9/9),100% (9/9),"(Despite extraordinary Taiwan's tech capabilities, it still lacks absentee / mail voting).

@iingwen #COVID19 @Taiwan_CDC # 

2/2",Near-right,,
3D1UCPY6GG26J69KJ9BF9XE5WAA83J,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3P59JYT76MD3JS3J89D7531Q4XLT28,A3QXY8LOG924BF,Approved,Mon Apr 10 05:21:26 PDT 2023,Mon Apr 10 05:22:08 PDT 2023,Thu Apr 13 05:22:08 PDT 2023,Thu Apr 13 05:22:27 PDT 2023,,,42,100% (4/4),100% (4/4),100% (4/4),"(Despite extraordinary Taiwan's tech capabilities, it still lacks absentee / mail voting).

@iingwen #COVID19 @Taiwan_CDC # 

2/2",Far-right,,
3D1UCPY6GG26J69KJ9BF9XE5WAA83J,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3TVSS0C0E2TPV81QMT2ETAHF84FTWP,AJC5MB3QZ3GTE,Approved,Mon Apr 10 05:20:12 PDT 2023,Mon Apr 10 05:20:19 PDT 2023,Thu Apr 13 05:20:19 PDT 2023,Thu Apr 13 05:20:32 PDT 2023,,,7,100% (3/3),100% (3/3),100% (3/3),"(Despite extraordinary Taiwan's tech capabilities, it still lacks absentee / mail voting).

@iingwen #COVID19 @Taiwan_CDC # 

2/2",Neutral,,
3D1UCPY6GG26J69KJ9BF9XE5WAA83J,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3UOUJI6MTE7JKLL5W3OA0PHO0KTUXB,AXIBU54EZMZM6,Approved,Mon Apr 10 05:18:52 PDT 2023,Mon Apr 10 05:19:19 PDT 2023,Thu Apr 13 05:19:19 PDT 2023,Thu Apr 13 05:19:34 PDT 2023,,,27,100% (2/2),100% (2/2),100% (2/2),"(Despite extraordinary Taiwan's tech capabilities, it still lacks absentee / mail voting).

@iingwen #COVID19 @Taiwan_CDC # 

2/2",Near-left,,
302OLP89DZ08FUYI906UYROUSBNACN,3R0JXV1AUG2OA1LC3D7UR8MSC04OFP,Sentiment analysis,Sentiment analysis,"sentiment, text",$0.05 ,Mon Apr 10 05:17:35 PDT 2023,5,BatchId:5051616;OriginalHitTemplateId:928390909;,120,259200,Mon Apr 17 05:17:35 PDT 2023,,,3OWEPKL08A5CAGV5HP8QSVC6QVLN7H,A1TLQ9SC7DDI4J,Approved,Mon Apr 10 05:18:43 PDT 2023,Mon Apr 10 05:19:32 PDT 2023,Thu Apr 13 05:19:32 PDT 2023,Thu Apr 13 05:19:39 PDT 2023,,,49,100% (17/17),100% (17/17),100% (17/17),"@DGBassani @gernot_ruzicka Does #pneumonia and Influenza like illnesses"" include or exclude #Covid19 and #LongCovid ?",Near-right,,
